skl_1164|Dummy first line
skl_id_13_desc|每 级 使 队 伍 视 野 范 围 提 高 10%%。（队 伍 技 能）
skl_id_14|行 军
skl_id_14_desc|每 级 使 大 地 图 移 动 速 度 提 高 3%%。（队 伍 技 能）
skl_id_15|战 术 
skl_id_15_desc|每 2级 增 加 1点 初 始 战 斗 优 势。（队 伍 技 能）
skl_id_16|跟 踪 
skl_id_16_desc|使 你 能 从 足 迹 和 其 他 痕 迹 中 获 得 更 详 细 的 信 息。（队 伍 技 能）
skl_id_17|教 练 
skl_id_17_desc|每 天，拥 有 此 技 能 的 英 雄 都 会 为 队 伍 中 等 级 低 于 自 己 的 成 员 提 供 经 验。各 级 经 验 值 依 次 为：0、4、10、16、23、30、38、46、55、65、80。（个 人 技 能）
skl_id_18|魔 法 控 制 
skl_id_18_desc|提 高 魔 法 控 制 可 解 锁 更 多 法 术，并 帮 助 你 达 到 施 放 这 些 法 术 所 需 的 熟 练 等 级。魔 法 控 制 还 会 提 高 施 法 成 功 率，并 扩 大 法 术 作 用 范 围。进 入 魔 法 行 会 至 少 需 要 1点 魔 法 控 制。请 注 意，矮 人 无 法 使 用 魔 法。（最 高 15级）
skl_id_19|魔 力 
skl_id_19_desc|魔 力 决 定 法 术 造 成 的 伤 害，并 影 响 增 益 与 减 益 法 术 的 效 果 强 度。（最 高 15级）
skl_id_20|法 力 控 制 
skl_id_20_desc|法 力 控 制 越 高，法 力 上 限 越 高，每 次 魔 法 之 风 检 定 恢 复 的 法 力 也 越 多。达 到 4级 后，可 按 U键 消 耗 额 外 法 力，绕 过 下 一 次 施 法 的 负 重 修 正；达 到 8级 后，额 外 消 耗 比 例 降 低。（最 高 15级）
skl_id_21|预 留 技 能 8 
skl_id_21_desc|这 是 一 个 预 留 技 能。
skl_id_22|掠 夺 
skl_id_22_desc|每 级 使 战 利 品 获 取 量 提 高 10%%。（队 伍 技 能）
skl_id_23|骑 射 
skl_id_23_desc|降 低 骑 乘 时 使 用 弓、投 掷 武 器 和 火 器 所 受 的 伤 害 与 精 度 惩 罚。（个 人 技 能）
skl_id_24|骑 术 
skl_id_24_desc|使 你 能 够 骑 乘 要 求 更 高 的 坐 骑，并 提 高 骑 行 速 度 与 操 控 性。（个 人 技 能）
skl_id_25|跑 动 
skl_id_25_desc|提 高 奔 跑 速 度。（个 人 技 能）
skl_id_26|盾 防 
skl_id_26_desc|每 级 使 盾 牌 所 受 伤 害 降 低 8%%，并 提 高 盾 牌 速 度 与 防 护 范 围。（个 人 技 能）
skl_id_27|武 器 掌 握 
skl_id_27_desc|加 快 武 器 熟 练 度 提 升，并 提 高 熟 练 度 上 限。各 级 上 限 依 次 为：60、100、140、180、220、260、300、340、380、420。（个 人 技 能）
skl_id_28|预 留 技 能 9
skl_id_28_desc|这 是 一 个 预 留 技 能。
skl_id_29|预 留 技 能 10
skl_id_29_desc|这 是 一 个 预 留 技 能。
skl_id_30|预 留 技 能 11
skl_id_30_desc|这 是 一 个 预 留 技 能。
skl_id_31|预 留 技 能 12
skl_id_31_desc|这 是 一 个 预 留 技 能。
skl_id_32|预 留 技 能 13
skl_id_32_desc|这 是 一 个 预 留 技 能。
skl_id_33|强 弓 
skl_id_33_desc|允 许 使 用 要 求 更 高 的 弓。每 点 技 能 都 会 使 弓 箭 伤 害 提 高 14%%，最 多 计 入“弓 的 强 弓 需 求 +4”点。（个 人 技 能）
skl_id_34|强 掷 
skl_id_34_desc|每 点 使 投 掷 伤 害 提 高 10%%。（最 高 15级，个 人 技 能）
skl_id_35|强 击 
skl_id_35_desc|每 点 使 近 战 伤 害 提 高 8%%。（最 高 15级，个 人 技 能）
skl_id_36|铁 骨 
skl_id_36_desc|每 点 增 加 2点 生 命 值。（最 高 15级，个 人 技 能）
skl_id_37|体 质 
skl_id_37_desc|缩 短 疾 病 与 伤 势 的 恢 复 时 间，加 快 大 地 图 上 的 生 命 恢 复，延 长 药 水 效 果，并 减 轻 醉 酒 造 成 的 负 面 影 响。亡 灵、吸 血 鬼 和 蜥 蜴 人 不 会 生 病 或 醉 酒。（个 人 技 能）
skl_id_38|预 留 技 能 15
skl_id_38_desc|这 是 一 个 预 留 技 能。
skl_id_39|预 留 技 能 16
skl_id_39_desc|这 是 一 个 预 留 技 能。
skl_id_40|预 留 技 能 17
skl_id_40_desc|这 是 一 个 预 留 技 能。
skl_id_41|预 留 技 能 18
skl_id_41_desc|这 是 一 个 预 留 技 能。
