trp_1164|Dummy first line
trp_id_90_pl|雇 佣 骷 髅 骑 兵 
trp_id_91|咒 怨 连 矮 人 士 兵 
trp_id_91_pl|咒 怨 连 矮 人 士 兵 
trp_id_92|咒 怨 连 诺 斯 卡 士 兵 
trp_id_92_pl|咒 怨 连 诺 斯 卡 士 兵 
trp_id_93|咒 怨 连 士 兵 
trp_id_93_pl|咒 怨 连 士 兵 
trp_id_94|自 由 佣 人 
trp_id_94_pl|自 由 佣 人 
trp_id_95|自 由 佣 兵 步 兵 
trp_id_95_pl|自 由 佣 兵 步 兵 
trp_id_96|自 由 私 人 管 家 
trp_id_96_pl|自 由 私 人 管 家 
trp_id_97|自 由 车 夫 
trp_id_97_pl|自 由 车 夫 
trp_id_98|自 由 男 仆 
trp_id_98_pl|自 由 男 仆 
trp_id_99|自 由 佣 兵 管 家 
trp_id_99_pl|自 由 佣 兵 管 家 
trp_id_100|雇 佣 蛮 荒 兽 人 战 猪 小 子 
trp_id_100_pl|雇 佣 蛮 荒 兽 人 战 猪 小 子 
trp_id_101|雇 佣 蛮 荒 兽 人 酋 长 
trp_id_101_pl|雇 佣 蛮 荒 兽 人 酋 长 
trp_id_102|雇 佣 蛮 荒 兽 人 弓 箭 小 子 
trp_id_102_pl|雇 佣 蛮 荒 兽 人 弓 箭 小 子 
trp_id_103|雇 佣 蛮 荒 兽 人 弓 箭 大 只 佬 
trp_id_103_pl|雇 佣 蛮 荒 兽 人 弓 箭 大 只 佬 
trp_id_104|地 精 雇 佣 勇 士 
trp_id_104_pl|地 精 雇 佣 勇 士 
trp_id_105|地 精 雇 佣 剥 颅 者 
trp_id_105_pl|地 精 雇 佣 剥 颅 者 
trp_id_106|地 精 雇 佣 酋 长 卫 队 
trp_id_106_pl|地 精 雇 佣 酋 长 卫 队 
trp_id_107|地 精 雇 佣 战 争 酋 长 
trp_id_107_pl|地 精 雇 佣 战 争 酋 长 
trp_id_108|地 精 雇 佣 勇 气 投 斧 手 
trp_id_108_pl|地 精 雇 佣 勇 气 投 斧 手 
trp_id_109|地 精 雇 佣 射 手 
trp_id_109_pl|地 精 雇 佣 射 手 
trp_id_110|地 精 雇 佣 哨 兵 
trp_id_110_pl|地 精 雇 佣 哨 兵 
trp_id_111|地 精 雇 佣 森 林 漫 步 者 
trp_id_111_pl|地 精 雇 佣 森 林 漫 步 者 
trp_id_112|地 精 雇 佣 蜘 蛛 骑 射 手 
trp_id_112_pl|地 精 雇 佣 蜘 蛛 骑 射 手 
trp_id_113|地 精 雇 佣 蜘 蛛 骑 兵 
trp_id_113_pl|地 精 雇 佣 蜘 蛛 骑 兵 
trp_id_114|地 精 雇 佣 蜘 蛛 骑 士 
trp_id_114_pl|地 精 雇 佣 蜘 蛛 骑 士 
trp_id_115|地 精 雇 佣 蜘 蛛 战 争 酋 长 
trp_id_115_pl|地 精 雇 佣 蜘 蛛 战 争 酋 长 
trp_id_116|咒 怨 连 矮 人 老 兵 
trp_id_116_pl|咒 怨 连 矮 人 老 兵 
trp_id_117|咒 怨 连 矮 人 冠 军 战 士 
trp_id_117_pl|咒 怨 连 矮 人 冠 军 战 士 
trp_id_118|咒 怨 连 诺 斯 卡 老 兵 
trp_id_118_pl|咒 怨 连 诺 斯 卡 老 兵 
trp_id_119|咒 怨 连 诺 斯 卡 冠 军 勇 士 
trp_id_119_pl|咒 怨 连 诺 斯 卡 冠 军 勇 士 
trp_id_120|咒 怨 连 老 兵 
trp_id_120_pl|咒 怨 连 老 兵 
trp_id_121|咒 怨 连 冠 军 勇 士 
trp_id_121_pl|咒 怨 连 冠 军 勇 士 
trp_id_122|美 洲 豹 勇 士 
trp_id_122_pl|美 洲 豹 勇 士 
trp_id_123|亚 马 逊 女 猎 手 
trp_id_123_pl|亚 马 逊 女 猎 手 
trp_id_124|图 腾 守 护 者 
trp_id_124_pl|图 腾 守 护 者 
trp_id_125|骑 马 女 猎 手 
trp_id_125_pl|骑 马 女 猎 手 
trp_id_126|亚 马 逊 女 酋 长 
trp_id_126_pl|亚 马 逊 女 酋 长 
trp_id_127|雇 佣 半 身 人 治 安 员 
trp_id_127_pl|雇 佣 半 身 人 治 安 员 
trp_id_128|雇 佣 半 身 人 仓 储 守 卫 
trp_id_128_pl|雇 佣 半 身 人 仓 储 守 卫 
trp_id_129|雇 佣 半 身 人 厨 师 
trp_id_129_pl|雇 佣 半 身 人 厨 师 
trp_id_130|雇 佣 半 身 人 大 厨 
trp_id_130_pl|雇 佣 半 身 人 大 厨 
trp_id_131|雇 佣 半 身 人 追 踪 者 
trp_id_131_pl|雇 佣 半 身 人 追 踪 者 
trp_id_132|雇 佣 半 身 人 游 侠 
trp_id_132_pl|雇 佣 半 身 人 游 侠 
trp_id_133|雇 佣 半 身 人 猎 犬 游 侠 
trp_id_133_pl|雇 佣 半 身 人 猎 犬 游 侠 
trp_id_134|雇 佣 半 身 人 猎 犬 骑 兵 
trp_id_134_pl|雇 佣 半 身 人 猎 犬 骑 兵 
trp_id_135|雇 佣 半 身 人 山 羊 骑 兵 
trp_id_135_pl|雇 佣 半 身 人 山 羊 骑 兵 
trp_id_136|雇 佣 半 身 人 战 羚 骑 士 
trp_id_136_pl|雇 佣 半 身 人 战 羚 骑 士 
trp_id_137|雇 佣 死 亡 魔 女 
trp_id_137_pl|雇 佣 死 亡 魔 女 
trp_id_138|雇 佣 恐 惧 巫 女 
trp_id_138_pl|雇 佣 恐 惧 巫 女 
trp_id_139|暗 影 之 眼 
trp_id_139_pl|暗 影 之 眼 
trp_id_140|忍 者 大 师 
trp_id_140_pl|忍 者 大 师 
trp_id_141|忍 者 宗 师 
trp_id_141_pl|忍 者 宗 师 
trp_id_142|雇 佣 骷 髅 骑 兵 
trp_id_142_pl|雇 佣 骷 髅 骑 兵 
trp_id_143|阿 拉 比 恶 盗 
trp_id_143_pl|阿 拉 比 恶 盗 
trp_id_144|阿 拉 比 神 偷 
trp_id_144_pl|阿 拉 比 神 偷 
trp_id_145|窃 贼 王 子 
trp_id_145_pl|窃 贼 王 子 
trp_id_146|雇 佣 光 明 法 师 
trp_id_146_pl|雇 佣 光 明 法 师 
trp_id_147|雇 佣 黄 金 法 师 
trp_id_147_pl|雇 佣 黄 金 法 师 
trp_id_148|雇 佣 翡 翠 法 师 
trp_id_148_pl|雇 佣 翡 翠 法 师 
trp_id_149|雇 佣 天 空 法 师 
trp_id_149_pl|雇 佣 天 空 法 师 
trp_id_150|雇 佣 灰 袍 法 师 
trp_id_150_pl|雇 佣 灰 袍 法 师 
trp_id_151|雇 佣 紫 晶 法 师 
trp_id_151_pl|雇 佣 紫 晶 法 师 
trp_id_152|雇 佣 炽 焰 法 师 
trp_id_152_pl|雇 佣 炽 焰 法 师 
trp_id_153|雇 佣 琥 珀 法 师 
trp_id_153_pl|雇 佣 琥 珀 法 师 
trp_id_154|雇 佣 光 明 法 师 
trp_id_154_pl|雇 佣 光 明 法 师 
trp_id_155|雇 佣 黄 金 法 师 
trp_id_155_pl|雇 佣 黄 金 法 师 
trp_id_156|雇 佣 翡 翠 法 师 
trp_id_156_pl|雇 佣 翡 翠 法 师 
trp_id_157|雇 佣 天 空 法 师 
trp_id_157_pl|雇 佣 天 空 法 师 
trp_id_158|雇 佣 灰 袍 法 师 
trp_id_158_pl|雇 佣 灰 袍 法 师 
trp_id_159|雇 佣 紫 晶 法 师 
trp_id_159_pl|雇 佣 紫 晶 法 师 
trp_id_160|雇 佣 炽 焰 法 师 
trp_id_160_pl|雇 佣 炽 焰 法 师 
trp_id_161|雇 佣 琥 珀 法 师 
trp_id_161_pl|雇 佣 琥 珀 法 师 
trp_id_162|雇 佣 奎 许 法 师 
trp_id_162_pl|雇 佣 奎 许 法 师 
trp_id_163|雇 佣 混 沌 矮 人 炽 焰 法 师 
trp_id_163_pl|雇 佣 混 沌 矮 人 炽 焰 法 师 
trp_id_164|雇 佣 混 沌 矮 人 黄 金 法 师 
trp_id_164_pl|雇 佣 混 沌 矮 人 黄 金 法 师 
trp_id_165|雇 佣 混 沌 矮 人 紫 晶 法 师 
trp_id_165_pl|雇 佣 混 沌 矮 人 紫 晶 法 师 
trp_id_166|雇 佣 混 沌 炽 焰 法 师 
trp_id_166_pl|雇 佣 混 沌 炽 焰 法 师 
trp_id_167|雇 佣 混 沌 纳 垢 法 师 
trp_id_167_pl|雇 佣 混 沌 纳 垢 法 师 
trp_id_168|雇 佣 混 沌 紫 晶 法 师 
trp_id_168_pl|雇 佣 混 沌 紫 晶 法 师 
trp_id_169|雇 佣 混 沌 色 孽 法 师 
trp_id_169_pl|雇 佣 混 沌 色 孽 法 师 
trp_id_170|雇 佣 混 沌 灰 袍 法 师 
trp_id_170_pl|雇 佣 混 沌 灰 袍 法 师 
trp_id_171|雇 佣 混 沌 奸 奇 法 师 
trp_id_171_pl|雇 佣 混 沌 奸 奇 法 师 
trp_id_172|雇 佣 混 沌 黄 金 法 师 
trp_id_172_pl|雇 佣 混 沌 黄 金 法 师 
trp_id_173|雇 佣 尼 赫 喀 拉 巫 妖 
trp_id_173_pl|雇 佣 尼 赫 喀 拉 巫 妖 
trp_id_174|雇 佣 光 明 巫 妖 
trp_id_174_pl|雇 佣 光 明 巫 妖 
trp_id_175|雇 佣 紫 晶 巫 妖 
trp_id_175_pl|雇 佣 紫 晶 巫 妖 
trp_id_176|雇 佣 奎 许 灵 蜥 祭 司 
trp_id_176_pl|雇 佣 奎 许 灵 蜥 祭 司 
trp_id_177|雇 佣 琥 珀 灵 蜥 祭 司 
trp_id_177_pl|雇 佣 琥 珀 灵 蜥 祭 司 
trp_id_178|雇 佣 天 空 灵 蜥 祭 司 
trp_id_178_pl|雇 佣 天 空 灵 蜥 祭 司 
trp_id_179|雇 佣 夜 地 精 萨 满 
trp_id_179_pl|雇 佣 夜 地 精 萨 满 
trp_id_180|雇 佣 沙 漠 维 齐 尔 
trp_id_180_pl|雇 佣 沙 漠 维 齐 尔 
trp_id_181|雇 佣 光 明 维 齐 尔 
trp_id_181_pl|雇 佣 光 明 维 齐 尔 
trp_id_182|雇 佣 黄 金 维 齐 尔 
trp_id_182_pl|雇 佣 黄 金 维 齐 尔 
trp_id_183|雇 佣 炽 焰 维 齐 尔 
trp_id_183_pl|雇 佣 炽 焰 维 齐 尔 
trp_id_184|雇 佣 天 空 维 齐 尔 
trp_id_184_pl|雇 佣 天 空 维 齐 尔 
trp_id_185|雇 佣 兽 人 萨 满 
trp_id_185_pl|雇 佣 兽 人 萨 满 
trp_id_186|雇 佣 巴 托 尼 亚 琥 珀 法 师 
trp_id_186_pl|雇 佣 巴 托 尼 亚 琥 珀 法 师 
trp_id_187|雇 佣 巴 托 尼 亚 翡 翠 法 师 
trp_id_187_pl|雇 佣 巴 托 尼 亚 翡 翠 法 师 
trp_id_188|雇 佣 暗 精 灵 达 尔 法 师 
trp_id_188_pl|雇 佣 暗 精 灵 达 尔 法 师 
trp_id_189|雇 佣 暗 精 灵 黄 金 法 师 
trp_id_189_pl|雇 佣 暗 精 灵 黄 金 法 师 
trp_id_190|雇 佣 暗 精 灵 炽 焰 法 师 
trp_id_190_pl|雇 佣 暗 精 灵 炽 焰 法 师 
trp_id_191|雇 佣 暗 精 灵 灰 袍 法 师 
trp_id_191_pl|雇 佣 暗 精 灵 灰 袍 法 师 
trp_id_192|雇 佣 暗 精 灵 紫 晶 法 师 
trp_id_192_pl|雇 佣 暗 精 灵 紫 晶 法 师 
trp_id_193|雇 佣 斯 卡 文 毁 灭 术 士 
trp_id_193_pl|雇 佣 斯 卡 文 毁 灭 术 士 
trp_id_194|雇 佣 斯 卡 文 瘟 疫 术 士 
trp_id_194_pl|雇 佣 斯 卡 文 瘟 疫 术 士 
trp_id_195|雇 佣 基 斯 里 夫 冰 法 师 
trp_id_195_pl|雇 佣 基 斯 里 夫 冰 法 师 
trp_id_196|雇 佣 狂 野 萨 满 
trp_id_196_pl|雇 佣 狂 野 萨 满 
trp_id_197|雇 佣 灰 袍 萨 满 
trp_id_197_pl|雇 佣 灰 袍 萨 满 
trp_id_198|雇 佣 紫 晶 萨 满 
trp_id_198_pl|雇 佣 紫 晶 萨 满 
trp_id_199|雇 佣 琥 珀 萨 满 
trp_id_199_pl|雇 佣 琥 珀 萨 满 
trp_id_200|雇 佣 奸 奇 萨 满 
trp_id_200_pl|雇 佣 奸 奇 萨 满 
trp_id_201|雇 佣 色 孽 萨 满 
trp_id_201_pl|雇 佣 色 孽 萨 满 
trp_id_202|雇 佣 纳 垢 萨 满 
trp_id_202_pl|雇 佣 纳 垢 萨 满 
trp_id_203|雇 佣 天 空 修 行 者 
trp_id_203_pl|雇 佣 天 空 修 行 者 
trp_id_204|雇 佣 炽 焰 修 行 者 
trp_id_204_pl|雇 佣 炽 焰 修 行 者 
trp_id_205|雇 佣 光 明 修 行 者 
trp_id_205_pl|雇 佣 光 明 修 行 者 
trp_id_206|雇 佣 灰 袍 修 行 者 
trp_id_206_pl|雇 佣 灰 袍 修 行 者 
trp_id_207|雇 佣 死 灵 法 师 
trp_id_207_pl|雇 佣 死 灵 法 师 
trp_id_208|雇 佣 吸 血 鬼 法 师 
trp_id_208_pl|雇 佣 吸 血 鬼 法 师 
trp_id_209|雇 佣 吸 血 鬼 紫 晶 法 师 
trp_id_209_pl|雇 佣 吸 血 鬼 紫 晶 法 师 
trp_id_210|雇 佣 吸 血 鬼 阴 影 法 师 
trp_id_210_pl|雇 佣 吸 血 鬼 阴 影 法 师 
trp_id_211|雇 佣 奎 许 咒 歌 者 
trp_id_211_pl|雇 佣 奎 许 咒 歌 者 
trp_id_212|雇 佣 光 明 咒 歌 者 
trp_id_212_pl|雇 佣 光 明 咒 歌 者 
trp_id_213|雇 佣 黄 金 咒 歌 者 
trp_id_213_pl|雇 佣 黄 金 咒 歌 者 
trp_id_214|雇 佣 炽 焰 咒 歌 者 
trp_id_214_pl|雇 佣 炽 焰 咒 歌 者 
trp_id_215|雇 佣 灰 袍 咒 歌 者 
trp_id_215_pl|雇 佣 灰 袍 咒 歌 者 
trp_id_216|雇 佣 琥 珀 咒 歌 者 
trp_id_216_pl|雇 佣 琥 珀 咒 歌 者 
trp_id_217|雇 佣 天 空 咒 歌 者 
trp_id_217_pl|雇 佣 天 空 咒 歌 者 
trp_id_218|雇 佣 翡 翠 咒 歌 者 
trp_id_218_pl|雇 佣 翡 翠 咒 歌 者 
trp_id_219|雇 佣 紫 晶 咒 歌 者 
trp_id_219_pl|雇 佣 紫 晶 咒 歌 者 
trp_id_220|雇 佣 矮 人 符 文 领 主 
trp_id_220_pl|雇 佣 矮 人 符 文 领 主 
trp_id_221|雇 佣 亡 灵 海 盗 死 亡 法 师 
trp_id_221_pl|雇 佣 亡 灵 海 盗 死 亡 法 师 
trp_id_222|雇 佣 亡 灵 海 盗 巫 师 
trp_id_222_pl|雇 佣 亡 灵 海 盗 巫 师 
trp_id_223|雇 佣 兵 结 束 
trp_id_223_pl|雇 佣 兵 结 束 
trp_id_224|帝 国 新 兵 
trp_id_224_pl|帝 国 新 兵 
trp_id_225|北 方 帝 国 新 兵 
trp_id_225_pl|北 方 帝 国 新 兵 
trp_id_226|南 方 帝 国 新 兵 
trp_id_226_pl|南 方 帝 国 新 兵 
trp_id_227|帝 国 长 矛 兵 
trp_id_227_pl|帝 国 长 矛 兵 
trp_id_228|北 方 帝 国 长 矛 兵 
trp_id_228_pl|北 方 帝 国 长 矛 兵 
trp_id_229|南 方 帝 国 长 矛 兵 
trp_id_229_pl|南 方 帝 国 长 矛 兵 
trp_id_230|帝 国 护 林 员 
trp_id_230_pl|帝 国 护 林 员 
trp_id_231|北 方 帝 国 护 林 员 
trp_id_231_pl|北 方 帝 国 护 林 员 
trp_id_232|南 方 帝 国 护 林 员 
trp_id_232_pl|南 方 帝 国 护 林 员 
trp_id_233|帝 国 戟 兵 
trp_id_233_pl|帝 国 戟 兵 
trp_id_234|帝 国 剑 士 
trp_id_234_pl|帝 国 剑 士 
trp_id_235|帝 国 弩 手 
trp_id_235_pl|帝 国 弩 手 
trp_id_236|帝 国 火 枪 手 
trp_id_236_pl|帝 国 火 枪 手 
trp_id_237|白 狼 之 子 
trp_id_237_pl|白 狼 之 子 
trp_id_238|尤 里 克 之 剑 
trp_id_238_pl|尤 里 克 之 剑 
trp_id_239|尤 里 克 猎 人 
trp_id_239_pl|尤 里 克 猎 人 
trp_id_240|北 方 帝 国 火 枪 手 
trp_id_240_pl|北 方 帝 国 火 枪 手 
trp_id_241|死 颅 连 队 剑 士 
trp_id_241_pl|死 颅 连 队 剑 士 
trp_id_242|南 方 帝 国 剑 士 
trp_id_242_pl|南 方 帝 国 剑 士 
trp_id_243|南 方 帝 国 火 枪 手 
trp_id_243_pl|南 方 帝 国 火 枪 手 
trp_id_244|帝 国 资 深 戟 兵 
trp_id_244_pl|帝 国 资 深 戟 兵 
trp_id_245|帝 国 资 深 剑 士 
trp_id_245_pl|帝 国 资 深 剑 士 
trp_id_246|南 方 帝 国 资 深 剑 士 
trp_id_246_pl|南 方 帝 国 资 深 剑 士 
trp_id_247|死 颅 连 队 戟 兵 
trp_id_247_pl|死 颅 连 队 戟 兵 
trp_id_248|尤 里 克 决 斗 者 
trp_id_248_pl|尤 里 克 决 斗 者 
trp_id_249|白 狼 兄 弟 会 成 员 
trp_id_249_pl|白 狼 兄 弟 会 成 员 
trp_id_250|帝 国 神 射 手 
trp_id_250_pl|帝 国 神 射 手 
trp_id_251|帝 国 火 枪 兵 
trp_id_251_pl|帝 国 火 枪 兵 
trp_id_252|尤 里 克 护 林 员 
trp_id_252_pl|尤 里 克 护 林 员 
trp_id_253|北 方 帝 国 火 枪 兵 
trp_id_253_pl|北 方 帝 国 火 枪 兵 
trp_id_254|南 方 帝 国 火 枪 兵 
trp_id_254_pl|南 方 帝 国 火 枪 兵 
trp_id_255|帝 国 大 剑 士 
trp_id_255_pl|帝 国 大 剑 士 
trp_id_256|尤 里 克 斗 士 
trp_id_256_pl|尤 里 克 斗 士 
trp_id_257|救 赎 者 连 队 戟 兵 
trp_id_257_pl|救 赎 者 连 队 戟 兵 
trp_id_258|帝 国 队 长 
trp_id_258_pl|帝 国 队 长 
trp_id_259|北 方 帝 国 队 长 
trp_id_259_pl|北 方 帝 国 队 长 
trp_id_260|南 方 帝 国 队 长 
trp_id_260_pl|南 方 帝 国 队 长 
trp_id_261|北 方 帝 国 神 枪 手 
trp_id_261_pl|北 方 帝 国 神 枪 手 
trp_id_262|帝 国 神 枪 手 
trp_id_262_pl|帝 国 神 枪 手 
trp_id_263|南 方 帝 国 神 枪 手 
trp_id_263_pl|南 方 帝 国 神 枪 手 
trp_id_264|帝 国 手 枪 骑 兵 
trp_id_264_pl|帝 国 手 枪 骑 兵 
trp_id_265|南 方 帝 国 手 枪 手 
trp_id_265_pl|南 方 帝 国 手 枪 手 
trp_id_266|卡 隆 堡 巨 剑 士 
trp_id_266_pl|卡 隆 堡 巨 剑 士 
trp_id_267|瑞 克 卫 队 步 行 骑 士 
trp_id_267_pl|瑞 克 卫 队 步 行 骑 士 
trp_id_268|条 顿 卫 队 
trp_id_268_pl|条 顿 卫 队 
trp_id_269|焰 阳 骑 士 
trp_id_269_pl|焰 阳 骑 士 
trp_id_270|猎 豹 骑 士 
trp_id_270_pl|猎 豹 骑 士 
trp_id_271|帝 国 手 枪 骑 兵 
