pt_1164|Dummy first line
pt_id_340|爬 行 死 亡 地 精 巢 穴
pt_id_341|巨 魔 巢 穴 
pt_id_342|海 盗 巢 穴
pt_id_343|忍 者 藏 身 处 
pt_id_344|托 特 纳 地 精 巢 穴
pt_id_345|簇 眼 地 精 营 地
pt_id_346|忍 者 藏 身 处 
pt_id_348|巫 师 泰 格 里 姆
pt_id_349|巴 托 罗 缪 斯 · 谢 瓦 利 耶 爵 士 
pt_id_350|帝 国 民 团 
pt_id_351|矮 人 矿 工 与 铁 匠 行 会
pt_id_352|奥 苏 安 捍 卫 者 
pt_id_353|混 沌 矮 人 巡 逻 队 
pt_id_354|恶 魔 军 团 
pt_id_355|尼 赫 喀 拉 守 护 者 
pt_id_356|灵 蜥 守 备 队
pt_id_357|地 精 战 团 
pt_id_358|阿 拉 比 巡 逻 队 
pt_id_359|绿 皮 战 团 
pt_id_360|王 国 捍 卫 者
pt_id_361|暗 精 灵 死 亡 小 队 
pt_id_362|魔 鼠 群 
pt_id_363|基 斯 里 夫 审 判 者 
pt_id_364|野 兽 人 战 群 
pt_id_365|尼 朋 巡 逻 队 
pt_id_366|西 尔 凡 尼 亚 巡 逻 队 
pt_id_367|洛 伦 守 护 者 
pt_id_368|亡 灵 海 盗 巡 逻 队
pt_id_369|海 盗 巡 逻 队
pt_id_370|亡 灵 海 盗
pt_id_371|黑 方 舟 突 袭 者 
pt_id_372|斯 卡 文 海 盗 
pt_id_373|你 的 配 偶 
pt_id_374|你 的 商 队 
pt_id_375|征 兵 官
pt_id_376|强 盗 
pt_id_377|强 盗 
pt_id_378|强 盗 
pt_id_379|强 盗 
pt_id_380|强 盗 
pt_id_381|强 盗 
pt_id_382|强 盗 
pt_id_383|强 盗 
pt_id_384|强 盗 
pt_id_385|强 盗 
pt_id_386|强 盗 
pt_id_387|强 盗 
pt_id_388|强 盗 
pt_id_389|强 盗 
pt_id_390|强 盗 
pt_id_391|强 盗 
pt_id_392|强 盗 
pt_id_393|强 盗 
pt_id_394|营 地 
