itm_1164|Dummy first line
itm_practice_bow_pl|练 习 弓 
itm_practice_crossbow|练 习 弩 
itm_practice_crossbow_pl|练 习 弩 
itm_practice_javelin|练 习 标 枪 
itm_practice_javelin_pl|练 习 标 枪 
itm_practice_javelin_melee|练 习 近 战 标 枪 
itm_practice_javelin_melee_pl|练 习 近 战 标 枪 
itm_practice_throwing_axes|投 掷 斧 
itm_practice_throwing_axes_pl|投 掷 斧 
itm_practice_sledgehammer|大 锤 
itm_practice_sledgehammer_pl|大 锤 
itm_practice_throwing_daggers|飞 刀 
itm_practice_throwing_daggers_pl|飞 刀 
itm_practice_throwing_daggers_100_amount|飞 刀 
itm_practice_throwing_daggers_100_amount_pl|飞 刀 
itm_practice_horse|练 习 马 
itm_practice_horse_pl|练 习 马 
itm_practice_arrows|练 习 箭 
itm_practice_arrows_pl|练 习 箭 
itm_practice_bolts|练 习 弩 矢 
itm_practice_bolts_pl|练 习 弩 矢 
itm_practice_arrows_10_amount|练 习 箭 
itm_practice_arrows_10_amount_pl|练 习 箭 
itm_practice_arrows_100_amount|练 习 箭 
itm_practice_arrows_100_amount_pl|练 习 箭 
itm_practice_bolts_9_amount|练 习 弩 矢 
itm_practice_bolts_9_amount_pl|练 习 弩 矢 
itm_practice_boots|训 练 靴 
itm_practice_boots_pl|训 练 靴 
itm_red_tourney_armor|红 色 竞 技 甲 
itm_red_tourney_armor_pl|红 色 竞 技 甲 
itm_blue_tourney_armor|蓝 色 竞 技 甲 
itm_blue_tourney_armor_pl|蓝 色 竞 技 甲 
itm_green_tourney_armor|绿 色 竞 技 甲 
itm_green_tourney_armor_pl|绿 色 竞 技 甲 
itm_gold_tourney_armor|金 色 竞 技 甲 
itm_gold_tourney_armor_pl|金 色 竞 技 甲 
itm_red_tourney_helmet|红 色 竞 技 盔 
itm_red_tourney_helmet_pl|红 色 竞 技 盔 
itm_blue_tourney_helmet|蓝 色 竞 技 盔 
itm_blue_tourney_helmet_pl|蓝 色 竞 技 盔 
itm_green_tourney_helmet|绿 色 竞 技 盔 
itm_green_tourney_helmet_pl|绿 色 竞 技 盔 
itm_gold_tourney_helmet|金 色 竞 技 盔 
itm_gold_tourney_helmet_pl|金 色 竞 技 盔 
itm_arena_shield_red|盾 
itm_arena_shield_red_pl|盾 
itm_arena_shield_blue|盾 
itm_arena_shield_blue_pl|盾 
itm_arena_shield_green|盾 
itm_arena_shield_green_pl|盾 
itm_arena_shield_yellow|盾 
itm_arena_shield_yellow_pl|盾 
itm_arena_armor_white|白 色 竞 技 甲 
itm_arena_armor_white_pl|白 色 竞 技 甲 
itm_arena_armor_red|红 色 竞 技 甲 
itm_arena_armor_red_pl|红 色 竞 技 甲 
itm_arena_armor_blue|蓝 色 竞 技 甲 
itm_arena_armor_blue_pl|蓝 色 竞 技 甲 
itm_arena_armor_green|绿 色 竞 技 甲 
itm_arena_armor_green_pl|绿 色 竞 技 甲 
itm_arena_armor_yellow|黄 色 竞 技 甲 
itm_arena_armor_yellow_pl|黄 色 竞 技 甲 
itm_arena_tunic_white|白 色 竞 技 短 袍 
itm_arena_tunic_white_pl|白 色 竞 技 短 袍 
itm_arena_tunic_red|红 色 竞 技 短 袍 
itm_arena_tunic_red_pl|红 色 竞 技 短 袍 
itm_arena_tunic_blue|蓝 色 竞 技 短 袍 
itm_arena_tunic_blue_pl|蓝 色 竞 技 短 袍 
itm_arena_tunic_green|绿 色 竞 技 短 袍 
itm_arena_tunic_green_pl|绿 色 竞 技 短 袍 
itm_arena_tunic_yellow|黄 色 竞 技 短 袍 
itm_arena_tunic_yellow_pl|黄 色 竞 技 短 袍 
itm_arena_helmet_red|红 色 竞 技 盔 
itm_arena_helmet_red_pl|红 色 竞 技 盔 
itm_arena_helmet_blue|蓝 色 竞 技 盔 
itm_arena_helmet_blue_pl|蓝 色 竞 技 盔 
itm_arena_helmet_green|绿 色 竞 技 盔 
itm_arena_helmet_green_pl|绿 色 竞 技 盔 
itm_arena_helmet_yellow|黄 色 竞 技 盔 
itm_arena_helmet_yellow_pl|黄 色 竞 技 盔 
itm_steppe_helmet_white|白 色 草 原 盔 
itm_steppe_helmet_white_pl|白 色 草 原 盔 
itm_steppe_helmet_red|红 色 草 原 盔 
itm_steppe_helmet_red_pl|红 色 草 原 盔 
itm_steppe_helmet_blue|蓝 色 草 原 盔 
itm_steppe_helmet_blue_pl|蓝 色 草 原 盔 
itm_steppe_helmet_green|绿 色 草 原 盔 
itm_steppe_helmet_green_pl|绿 色 草 原 盔 
itm_steppe_helmet_yellow|黄 色 草 原 盔 
itm_steppe_helmet_yellow_pl|黄 色 草 原 盔 
itm_tourney_helm_white|白 色 赛 场 盔 
itm_tourney_helm_white_pl|白 色 赛 场 盔 
itm_tourney_helm_red|红 色 赛 场 盔 
itm_tourney_helm_red_pl|红 色 赛 场 盔 
itm_tourney_helm_blue|蓝 色 赛 场 盔 
itm_tourney_helm_blue_pl|蓝 色 赛 场 盔 
itm_tourney_helm_green|绿 色 赛 场 盔 
itm_tourney_helm_green_pl|绿 色 赛 场 盔 
itm_tourney_helm_yellow|黄 色 赛 场 盔 
itm_tourney_helm_yellow_pl|黄 色 赛 场 盔 
itm_arena_turban_red|竞 技 头 巾 
itm_arena_turban_red_pl|竞 技 头 巾 
itm_arena_turban_blue|竞 技 头 巾 
itm_arena_turban_blue_pl|竞 技 头 巾 
itm_arena_turban_green|竞 技 头 巾 
itm_arena_turban_green_pl|竞 技 头 巾 
itm_arena_turban_yellow|竞 技 头 巾 
itm_arena_turban_yellow_pl|竞 技 头 巾 
itm_book_tactics|军 事 论
itm_book_tactics_pl|军 事 论
itm_book_persuasion|修 辞 学 
itm_book_persuasion_pl|修 辞 学 
itm_book_leadership|吉 勒 · 勒 · 布 勒 东 传
itm_book_leadership_pl|吉 勒 · 勒 · 布 勒 东 传
itm_book_intelligence|逻 辑 论 文 
itm_book_intelligence_pl|逻 辑 论 文 
itm_book_trade|价 值 论 
itm_book_trade_pl|价 值 论 
itm_book_weapon_mastery|剑 斗 艺 术 
itm_book_weapon_mastery_pl|剑 斗 艺 术 
itm_book_engineering|机 械 原 理 
itm_book_engineering_pl|机 械 原 理 
itm_book_wound_treatment_reference|治 疗 之 书 
itm_book_wound_treatment_reference_pl|治 疗 之 书 
itm_book_training_reference|兵 器 手 册 
itm_book_training_reference_pl|兵 器 手 册 
itm_book_surgery_reference|手 术 大 全 
itm_book_surgery_reference_pl|手 术 大 全 
itm_spice|香 料 
itm_spice_pl|香 料 
itm_salt|盐 
itm_salt_pl|盐 
itm_oil|油 
itm_oil_pl|油 
itm_pottery|陶 器 
itm_pottery_pl|陶 器 
itm_raw_flax|亚 麻 捆 
itm_raw_flax_pl|亚 麻 捆 
itm_linen|亚 麻 布 
itm_linen_pl|亚 麻 布 
itm_wool|羊 毛 
itm_wool_pl|羊 毛 
itm_wool_cloth|毛 呢 
itm_wool_cloth_pl|毛 呢 
itm_raw_silk|生 丝 
itm_raw_silk_pl|生 丝 
itm_raw_dyes|染 料 
itm_raw_dyes_pl|染 料 
itm_velvet|天 鹅 绒 
itm_velvet_pl|天 鹅 绒 
itm_iron|生 铁 
itm_iron_pl|生 铁 
itm_tools|工 具 
itm_tools_pl|工 具 
itm_raw_leather|兽 皮 
itm_raw_leather_pl|兽 皮 
itm_leatherwork|皮 革 制 品 
itm_leatherwork_pl|皮 革 制 品 
itm_furs|毛 皮 
itm_furs_pl|毛 皮 
itm_gems|宝 石 
itm_gems_pl|宝 石 
itm_wine|葡 萄 酒 
itm_wine_pl|葡 萄 酒 
itm_ale|麦 芽 酒 
itm_ale_pl|麦 芽 酒 
itm_bugmans_ale|伯 格 曼 XXXX佳 酿
itm_bugmans_ale_pl|伯 格 曼 XXXX佳 酿
itm_smoked_fish|熏 鱼 
itm_smoked_fish_pl|熏 鱼 
itm_cheese|奶 酪 
itm_cheese_pl|奶 酪 
itm_honey|蜂 蜜 
itm_honey_pl|蜂 蜜 
itm_sausages|腊 肠 
itm_sausages_pl|腊 肠 
itm_cabbages|卷 心 菜 
itm_cabbages_pl|卷 心 菜 
itm_dried_meat|风 干 肉 
itm_dried_meat_pl|风 干 肉 
itm_apples|水 果
itm_apples_pl|水 果
itm_raw_grapes|葡 萄 
itm_raw_grapes_pl|葡 萄 
itm_raw_olives|橄 榄 
itm_raw_olives_pl|橄 榄 
itm_grain|谷 物
itm_grain_pl|谷 物
itm_cattle_meat|牛 肉 
itm_cattle_meat_pl|牛 肉 
itm_bread|面 包 
itm_bread_pl|面 包 
itm_chicken|鸡 肉 
itm_chicken_pl|鸡 肉 
itm_pork|猪 肉 
itm_pork_pl|猪 肉 
itm_butter|奶 油 
itm_butter_pl|奶 油 
itm_raw_date_fruit|枣 肉 
itm_raw_date_fruit_pl|枣 肉 
itm_siege_supply|补 给 品 
itm_siege_supply_pl|补 给 品 
itm_quest_wine|葡 萄 酒 
itm_quest_wine_pl|葡 萄 酒 
itm_quest_ale|麦 芽 酒 
itm_quest_ale_pl|麦 芽 酒 
itm_potion_healing|治 疗 药 水
itm_potion_healing_pl|治 疗 药 水
itm_potion_mana|法 力 药 水
itm_potion_mana_pl|法 力 药 水
itm_potion_curing|祛 病 药 水
itm_potion_curing_pl|祛 病 药 水
itm_potion_instability|不 稳 定 药 水 
itm_potion_instability_pl|不 稳 定 药 水 
itm_potion_pain|止 痛 药 水
itm_potion_pain_pl|止 痛 药 水
itm_potion_strength|力 量 药 水 
itm_potion_strength_pl|力 量 药 水 
itm_potion_toughness|韧 性 药 水 
itm_potion_toughness_pl|韧 性 药 水 
itm_potion_elemental|迅 捷 药 水
itm_potion_elemental_pl|迅 捷 药 水
itm_potion_knowledge|智 慧 药 水 
itm_potion_knowledge_pl|智 慧 药 水 
itm_potion_disguise|伪 装 药 水
itm_potion_disguise_pl|伪 装 药 水
itm_ring_cheap|假 钻 戒 
itm_ring_cheap_pl|假 钻 戒 
itm_ring_normal|钻 戒 
itm_ring_normal_pl|钻 戒 
itm_ring_rich|绝 代 钻 戒
itm_ring_rich_pl|绝 代 钻 戒
itm_harp|竖 琴 
itm_harp_pl|竖 琴 
itm_arabyspices|阿 拉 比 香 料 
itm_arabyspices_pl|阿 拉 比 香 料 
itm_pearl_necklace|珍 珠 项 链 
itm_pearl_necklace_pl|珍 珠 项 链 
itm_tapestry|巴 托 尼 亚 壁 毯 
itm_tapestry_pl|巴 托 尼 亚 壁 毯 
itm_book_oggy|奥 叽 · 波 叽 的 诊 断 医 学 和 外 科 实 践 全 集 
itm_book_oggy_pl|奥 叽 · 波 叽 的 诊 断 医 学 和 外 科 实 践 全 集 
itm_potion_carried|携 带 药 水 
itm_potion_carried_pl|携 带 药 水 
itm_book_carried|携 带 书 籍 
itm_book_carried_pl|携 带 书 籍 
itm_whip_carried|携 带 鞭 子 
itm_whip_carried_pl|携 带 鞭 子 
itm_shackles_carried|携 带 镣 铐 
itm_shackles_carried_pl|携 带 镣 铐 
itm_phas_protection|菲 的 庇 护 之 光 
itm_phas_protection_pl|菲 的 庇 护 之 光 
itm_speed_of_light|光 速 
itm_speed_of_light_pl|光 速 
itm_light_of_battle|海 希 之 辉
itm_light_of_battle_pl|海 希 之 辉
itm_net_of_amyntok|阿 明 托 克 之 网 
itm_net_of_amyntok_pl|阿 明 托 克 之 网 
itm_banishment|放 逐 之 光 
itm_banishment_pl|放 逐 之 光 
itm_bironas_timewarp|拜 若 纳 的 时 间 扭 曲 
itm_bironas_timewarp_pl|拜 若 纳 的 时 间 扭 曲 
itm_shems_burning_gaze|谢 姆 的 灼 热 凝 视
itm_shems_burning_gaze_pl|谢 姆 的 灼 热 凝 视
itm_shimmering_cloak|闪 光 斗 篷 
itm_shimmering_cloak_pl|闪 光 斗 篷 
itm_mace_of_years_spell|时 光 之 锤 
itm_mace_of_years_spell_pl|时 光 之 锤 
itm_plague_of_rust|锈 蚀 瘟 疫 
itm_plague_of_rust_pl|锈 蚀 瘟 疫 
itm_enchanted_blades_of_aiban|艾 班 之 刃 附 魔 
itm_enchanted_blades_of_aiban_pl|艾 班 之 刃 附 魔 
itm_glittering_robe|闪 耀 长 袍 
itm_glittering_robe_pl|闪 耀 长 袍 
itm_transmutation_of_lead|铅 之 炼 金 术 
itm_transmutation_of_lead_pl|铅 之 炼 金 术 
itm_final_transmutation|终 极 炼 金 术 
itm_final_transmutation_pl|终 极 炼 金 术 
itm_searing_doom|毁 灭 熔 流 
itm_searing_doom_pl|毁 灭 熔 流 
itm_burnished_gauntlet|抛 光 金 护 手 
itm_burnished_gauntlet_pl|抛 光 金 护 手 
itm_the_crucible|坩 埚 
itm_the_crucible_pl|坩 埚 
itm_earth_blood|大 地 之 血 
itm_earth_blood_pl|大 地 之 血 
itm_awakening_of_the_wood|森 林 复 苏 
itm_awakening_of_the_wood_pl|森 林 复 苏 
itm_flesh_to_stone|石 化 之 躯 
itm_flesh_to_stone_pl|石 化 之 躯 
itm_shield_of_thorns|荆 棘 护 盾 
itm_shield_of_thorns_pl|荆 棘 护 盾 
itm_regrowth|再 生 术 
itm_regrowth_pl|再 生 术 
itm_the_dwellers_below|地 灵 觉 醒 
itm_the_dwellers_below_pl|地 灵 觉 醒 
itm_the_emerald_portal|翡 翠 之 门
itm_the_emerald_portal_pl|翡 翠 之 门
itm_peace|和 平 
itm_peace_pl|和 平 
itm_cloak_of_dain|戴 恩 斗 篷
itm_cloak_of_dain_pl|戴 恩 斗 篷
itm_iceshard_blizzard|冰 片 暴 风 雪 
itm_iceshard_blizzard_pl|冰 片 暴 风 雪 
itm_harmonic_convergence|和 谐 汇 聚
itm_harmonic_convergence_pl|和 谐 汇 聚
itm_curse_of_the_midnight_wind|夜 风 诅 咒 
itm_curse_of_the_midnight_wind_pl|夜 风 诅 咒 
itm_lightning_storm|闪 电 风 暴 
itm_lightning_storm_pl|闪 电 风 暴 
itm_comet_of_casandora|卡 莎 朵 拉 彗 星 
itm_comet_of_casandora_pl|卡 莎 朵 拉 彗 星 
itm_urannons_thunderbolt|尤 瑞 诺 闪 电 箭 
itm_urannons_thunderbolt_pl|尤 瑞 诺 闪 电 箭 
itm_wind_blast|风 爆 术 
itm_wind_blast_pl|风 爆 术 
itm_the_cerulean_shield_spell|天 青 之 盾
itm_the_cerulean_shield_spell_pl|天 青 之 盾
itm_swiftwing|迅 捷 之 翼
itm_swiftwing_pl|迅 捷 之 翼
itm_melkoths_mystifying_miasma|梅 尔 克 斯 的 迷 魂 毒 瘴 
itm_melkoths_mystifying_miasma_pl|梅 尔 克 斯 的 迷 魂 毒 瘴 
itm_steed_of_shadows|阴 影 骏 马 
itm_steed_of_shadows_pl|阴 影 骏 马 
itm_the_enfeebling_foe|虚 弱 术 
itm_the_enfeebling_foe_pl|虚 弱 术 
itm_the_withering|凋 零 术
itm_the_withering_pl|凋 零 术
itm_shadow_strike|暗 影 箭 
itm_shadow_strike_pl|暗 影 箭 
itm_pit_of_shades|幽 暗 深 渊 
itm_pit_of_shades_pl|幽 暗 深 渊 
itm_okkams_mindrazor|奥 卡 姆 的 意 念 剃 刀 
itm_okkams_mindrazor_pl|奥 卡 姆 的 意 念 剃 刀 
itm_traitor_of_tarn|塔 恩 的 叛 徒 
itm_traitor_of_tarn_pl|塔 恩 的 叛 徒 
itm_radiance_of_potolos|普 特 罗 斯 的 光 芒 
itm_radiance_of_potolos_pl|普 特 罗 斯 的 光 芒 
itm_aspect_of_the_dreadknight|死 亡 骑 士 化 身 
itm_aspect_of_the_dreadknight_pl|死 亡 骑 士 化 身 
itm_caress_of_the_laniph|拉 尼 菲 的 爱 抚 
itm_caress_of_the_laniph_pl|拉 尼 菲 的 爱 抚 
itm_soulblight|灵 魂 枯 萎 
itm_soulblight_pl|灵 魂 枯 萎 
itm_spirit_leech|灵 魂 榨 取 
itm_spirit_leech_pl|灵 魂 榨 取 
itm_doom_and_darkness|死 亡 之 门
itm_doom_and_darkness_pl|死 亡 之 门
itm_fate_of_bjuna|贝 加 纳 的 命 运 
itm_fate_of_bjuna_pl|贝 加 纳 的 命 运 
itm_purple_sun_of_xereus|泽 雷 尔 斯 的 紫 晶 邪 阳
itm_purple_sun_of_xereus_pl|泽 雷 尔 斯 的 紫 晶 邪 阳
itm_the_purple_scythe_spell|紫 晶 镰 刀 
itm_the_purple_scythe_spell_pl|紫 晶 镰 刀 
itm_speed_of_lykos|莱 科 斯 的 速 度 
itm_speed_of_lykos_pl|莱 科 斯 的 速 度 
itm_fireball|火 球 
itm_fireball_pl|火 球 
itm_cascading_fire_cloak|流 火 披 风 
itm_cascading_fire_cloak_pl|流 火 披 风 
itm_flaming_sword_of_rhuin|鲁 因 火 焰 剑 
itm_flaming_sword_of_rhuin_pl|鲁 因 火 焰 剑 
itm_the_burning_head|烈 焰 之 颅 
itm_the_burning_head_pl|烈 焰 之 颅 
itm_piercing_bolts_of_burning|燃 烧 穿 透 弩 矢
itm_piercing_bolts_of_burning_pl|燃 烧 穿 透 弩 矢
itm_flame_storm|火 焰 风 暴 
itm_flame_storm_pl|火 焰 风 暴 
itm_fulminating_flame_cage|火 焰 牢 笼 
itm_fulminating_flame_cage_pl|火 焰 牢 笼 
itm_scarlet_scimitar_spell|绯 红 弯 刀 
itm_scarlet_scimitar_spell_pl|绯 红 弯 刀 
itm_conflagration_of_doom|末 日 之 火 
itm_conflagration_of_doom_pl|末 日 之 火 
itm_the_amber_spear|琥 珀 之 矛 
itm_the_amber_spear_pl|琥 珀 之 矛 
itm_wyssans_wildform|维 杉 的 狂 野 形 态 
itm_wyssans_wildform_pl|维 杉 的 狂 野 形 态 
itm_flock_of_doom|厄 运 之 群 
itm_flock_of_doom_pl|厄 运 之 群 
itm_panns_impenetrable_belt|潘 恩 的 坚 韧 毛 皮 
itm_panns_impenetrable_belt_pl|潘 恩 的 坚 韧 毛 皮 
itm_curse_of_anraheir|安 拉 海 尔 的 诅 咒 
itm_curse_of_anraheir_pl|安 拉 海 尔 的 诅 咒 
itm_savage_beast_of_horrors|赫 罗 斯 狂 兽 
itm_savage_beast_of_horrors_pl|赫 罗 斯 狂 兽 
itm_transformation_of_kadon|卡 顿 变 形 术
itm_transformation_of_kadon_pl|卡 顿 变 形 术
itm_the_vengeful_hood|召 唤 野 熊
itm_the_vengeful_hood_pl|召 唤 野 熊
itm_the_fleeting_bower|猎 鹰 之 翼
itm_the_fleeting_bower_pl|猎 鹰 之 翼
itm_soul_quench|灵 魂 淬 火 
itm_soul_quench_pl|灵 魂 淬 火 
itm_drain_magic|汲 魔 术
itm_drain_magic_pl|汲 魔 术
itm_apotheosis|神 圣 颂 扬 
itm_apotheosis_pl|神 圣 颂 扬 
itm_hand_of_glory|荣 耀 之 手 
itm_hand_of_glory_pl|荣 耀 之 手 
itm_walk_between_worlds|行 走 在 世 界 之 间 
itm_walk_between_worlds_pl|行 走 在 世 界 之 间 
itm_mana_tempest|八 风 暴 雨 
itm_mana_tempest_pl|八 风 暴 雨 
itm_arcane_unforging|秘 法 裂 解 
itm_arcane_unforging_pl|秘 法 裂 解 
itm_fiery_convocation|万 焰 燃 集 
itm_fiery_convocation_pl|万 焰 燃 集 
itm_arcane_banishment|奥 术 放 逐 
itm_arcane_banishment_pl|奥 术 放 逐 
itm_doom_bolt|毁 灭 魔 矢 
itm_doom_bolt_pl|毁 灭 魔 矢 
itm_power_of_darkness|黑 暗 之 力 
itm_power_of_darkness_pl|黑 暗 之 力 
itm_word_of_pain|痛 苦 之 言
itm_word_of_pain_pl|痛 苦 之 言
itm_blade_wind|利 刃 狂 风 
itm_blade_wind_pl|利 刃 狂 风 
itm_shroud_of_despair|绝 望 帷 幕 
itm_shroud_of_despair_pl|绝 望 帷 幕 
itm_soulstealer|窃 魂 术 
itm_soulstealer_pl|窃 魂 术 
itm_arnzipals_black_horror|阿 尼 齐 帕 尔 的 黑 暗 恐 惧 
itm_arnzipals_black_horror_pl|阿 尼 齐 帕 尔 的 黑 暗 恐 惧 
itm_chill_wind|彻 骨 寒 风 
itm_chill_wind_pl|彻 骨 寒 风 
itm_witch_flight|女 巫 飞 行 术 
itm_witch_flight_pl|女 巫 飞 行 术 
itm_death_spasm|死 亡 痉 挛 
itm_death_spasm_pl|死 亡 痉 挛 
itm_ryze_the_grave_call|掘 墓 还 魂 术 
itm_ryze_the_grave_call_pl|掘 墓 还 魂 术 
itm_morkharn_the_breath_of_darkness|莫 尔 卡 恩·黑 暗 吐 息
itm_morkharn_the_breath_of_darkness_pl|莫 尔 卡 恩·黑 暗 吐 息
itm_sulekhim_the_hand_of_dust|尘 埃 之 手 
itm_sulekhim_the_hand_of_dust_pl|尘 埃 之 手 
itm_khizzar_the_soul_stealer|灵 魂 窃 取 
itm_khizzar_the_soul_stealer_pl|灵 魂 窃 取 
itm_corruption|腐 败 
itm_corruption_pl|腐 败 
itm_kandorak_the_harbinger|先 驱 术 
itm_kandorak_the_harbinger_pl|先 驱 术 
itm_akar_aran_the_dark_riders|阿 卡 尔·阿 兰 的 黑 暗 骑 士
itm_akar_aran_the_dark_riders_pl|阿 卡 尔·阿 兰 的 黑 暗 骑 士
itm_vansels_danse_macabre|范 赫 死 亡 之 舞 
itm_vansels_danse_macabre_pl|范 赫 死 亡 之 舞 
itm_gaze_of_nagash|纳 加 什 凝 视 
itm_gaze_of_nagash_pl|纳 加 什 凝 视 
itm_blight|枯 萎 病
itm_blight_pl|枯 萎 病
itm_bolt_of_change|变 幻 之 箭 
itm_bolt_of_change_pl|变 幻 之 箭 
itm_treason_of_tzeentch|奸 奇 之 谋
itm_treason_of_tzeentch_pl|奸 奇 之 谋
itm_blue_fire_of_tzeentch|奸 奇 蓝 焰 
itm_blue_fire_of_tzeentch_pl|奸 奇 蓝 焰 
itm_tzeentch_firestorm|奸 奇 火 焰 风 暴 
itm_tzeentch_firestorm_pl|奸 奇 火 焰 风 暴 
itm_pink_fire_of_tzeentch|奸 奇 粉 焰 
itm_pink_fire_of_tzeentch_pl|奸 奇 粉 焰 
itm_infernal_gateway|地 狱 之 门 
itm_infernal_gateway_pl|地 狱 之 门 
itm_glean_magic|窃 取 魔 法
itm_glean_magic_pl|窃 取 魔 法
itm_boon_of_tzeentch|奸 奇 的 恩 赐 
itm_boon_of_tzeentch_pl|奸 奇 的 恩 赐 
itm_shield_of_fire|火 之 盾 
itm_shield_of_fire_pl|火 之 盾 
itm_lash_of_slaanesh|色 孽 之 鞭 
itm_lash_of_slaanesh_pl|色 孽 之 鞭 
itm_acquiescence|顺 从 术 
itm_acquiescence_pl|顺 从 术 
itm_pavane_of_slaanesh|色 孽 舞 曲 
itm_pavane_of_slaanesh_pl|色 孽 舞 曲 
itm_hysterical_frenzy|歇 斯 底 里 的 疯 狂 
itm_hysterical_frenzy_pl|歇 斯 底 里 的 疯 狂 
itm_slicing_shards|切 割 裂 片 
itm_slicing_shards_pl|切 割 裂 片 
itm_phantasmogoria|幻 影 术 
itm_phantasmogoria_pl|幻 影 术 
itm_cacophonic_choir|不 谐 合 唱
itm_cacophonic_choir_pl|不 谐 合 唱
itm_bondage_of_slaanesh|色 孽 的 束 缚 
itm_bondage_of_slaanesh_pl|色 孽 的 束 缚 
itm_summon_daemonettes|召 唤 欲 魔 
itm_summon_daemonettes_pl|召 唤 欲 魔 
itm_stream_of_corruption|腐 化 激 流 
itm_stream_of_corruption_pl|腐 化 激 流 
itm_miasma_of_pestilence|瘟 疫 瘴 气 
itm_miasma_of_pestilence_pl|瘟 疫 瘴 气 
itm_blades_of_putrefaction|腐 化 之 刃 
itm_blades_of_putrefaction_pl|腐 化 之 刃 
itm_curse_of_the_leper|麻 风 病 的 诅 咒 
itm_curse_of_the_leper_pl|麻 风 病 的 诅 咒 
itm_rancid_visitations|腐 臭 侵 袭
itm_rancid_visitations_pl|腐 臭 侵 袭
itm_fleshy_abundance|腐 肉 丛 生 
itm_fleshy_abundance_pl|腐 肉 丛 生 
itm_plague_wind|瘟 疫 之 风 
itm_plague_wind_pl|瘟 疫 之 风 
itm_stench_of_nurgle|纳 垢 恶 臭 
itm_stench_of_nurgle_pl|纳 垢 恶 臭 
itm_gaze_of_mork|毛 哥 凝 视 
itm_gaze_of_mork_pl|毛 哥 凝 视 
itm_brain_bursta|爆 脑 术 
itm_brain_bursta_pl|爆 脑 术 
itm_fists_of_gork|搞 哥 老 拳 
itm_fists_of_gork_pl|搞 哥 老 拳 
itm_hand_of_gork|搞 哥 大 手 
itm_hand_of_gork_pl|搞 哥 大 手 
itm_eadbutt|头 槌 冲 击 波 
itm_eadbutt_pl|头 槌 冲 击 波 
itm_foot_of_gork|搞 哥 大 脚 
itm_foot_of_gork_pl|搞 哥 大 脚 
itm_ere_we_go|跟 我 上！
itm_ere_we_go_pl|跟 我 上！
itm_waaaaaagh|大 Waaaaaagh！
itm_waaaaaagh_pl|大 Waaaaaagh！
itm_mork_save_uz|毛 哥 救 俺 们
itm_mork_save_uz_pl|毛 哥 救 俺 们
itm_vindictive_glare|复 仇 怒 视 
itm_vindictive_glare_pl|复 仇 怒 视 
itm_sneaky_stabbin|鬼 祟 痛 击 
itm_sneaky_stabbin_pl|鬼 祟 痛 击 
itm_gift_of_the_spider_god|蜘 蛛 之 神 的 赠 礼 
itm_gift_of_the_spider_god_pl|蜘 蛛 之 神 的 赠 礼 
itm_itchy_nuisance|瘙 痒 侵 袭 
itm_itchy_nuisance_pl|瘙 痒 侵 袭 
itm_gork_will_fix_it|搞 哥 会 收 拾 它
itm_gork_will_fix_it_pl|搞 哥 会 收 拾 它
itm_night_shroud|夜 幕 笼 罩 
